Clave Estado-Municipio,Clave Estado,Clave Municipio,Estado,Municipio,Grado de Rezago Social 2015,Población 2015,Ranking nacional
15-114,15,114,México,Villa Victoria,Alto,104612,324
15-115,15,115,México,Xonacatlán,Bajo,51646,1874
15-116,15,116,México,Zacazonapan,Bajo,4137,1691
15-117,15,117,México,Zacualpan,Alto,14958,627
15-118,15,118,México,Zinacantepec,Bajo,188927,1770
15-119,15,119,México,Zumpahuacán,Alto,16927,717
15-120,15,120,México,Zumpango,Muy bajo,199069,2260
15-122,15,122,México,Valle de Chalco Solidaridad,Muy bajo,396157,2117
15-123,15,123,México,Luvianos,Medio,27860,891
15-124,15,124,México,San José del Rincón,Alto,93878,326
15-125,15,125,México,Tonanitla,Muy bajo,9728,2258
15-95,15,95,México,Tepotzotlán,Muy bajo,94198,2266
15-100,15,100,México,Tezoyuca,Bajo,41333,1769
15-93,15,93,México,Tepetlaoxtoc,Bajo,30680,1975
15-78,15,78,México,Santo Tomás,Bajo,9682,1535
15-65,15,65,México,Otumba,Bajo,35274,2004
15-66,15,66,México,Otzoloapan,Medio,3872,1145
15-67,15,67,México,Otzolotepec,Bajo,84519,1416
15-68,15,68,México,Ozumba,Bajo,29114,1775
15-69,15,69,México,Papalotla,Muy bajo,3963,2342
15-70,15,70,México,La Paz,Bajo,293725,2044
15-71,15,71,México,Polotitlán,Bajo,13851,1774
15-92,15,92,México,Teotihuacán,Muy bajo,56993,2249
15-73,15,73,México,San Antonio la Isla,Muy bajo,27230,2334
15-74,15,74,México,San Felipe del Progreso,Alto,134143,454
15-75,15,75,México,San Martín de las Pirámides,Muy bajo,26960,2198
15-76,15,76,México,San Mateo Atenco,Muy bajo,75511,2174
15-77,15,77,México,San Simón de Guerrero,Medio,6010,1238
15-72,15,72,México,Rayón,Bajo,13261,2057
15-79,15,79,México,Soyaniquilpan de Juárez,Bajo,13290,1528
15-86,15,86,México,Temascaltepec,Medio,31631,845
15-80,15,80,México,Sultepec,Alto,26832,679
15-90,15,90,México,Tenango del Valle,Bajo,86380,1527
15-89,15,89,México,Tenango del Aire,Bajo,12470,2097
15-88,15,88,México,Tenancingo,Bajo,97891,1434
15-87,15,87,México,Temoaya,Medio,103834,1007
15-91,15,91,México,Teoloyucan,Muy bajo,66518,2307
15-85,15,85,México,Temascalcingo,Medio,63721,1048
15-84,15,84,México,Temascalapa,Bajo,38622,1942
15-83,15,83,México,Temamatla,Muy bajo,12984,2242
15-82,15,82,México,Tejupilco,Medio,77799,1186
15-81,15,81,México,Tecámac,Muy bajo,446008,2433
14-39,14,39,Jalisco,Guadalajara,Muy bajo,1460148,2422
14-43,14,43,Jalisco,La Huerta,Bajo,24563,1802
14-42,14,42,Jalisco,Huejuquilla el Alto,Medio,8787,1215
14-31,14,31,Jalisco,Chimaltitán,Alto,3383,479
14-41,14,41,Jalisco,Huejúcar,Bajo,5633,2001
14-40,14,40,Jalisco,Hostotipaquillo,Bajo,9761,1658
14-36,14,36,Jalisco,Etzatlán,Muy bajo,19847,2275
14-38,14,38,Jalisco,Guachinango,Bajo,4184,1776
14-37,14,37,Jalisco,El Grullo,Muy bajo,24312,2281
14-45,14,45,Jalisco,Ixtlahuacán del Río,Bajo,19070,1738
14-35,14,35,Jalisco,Encarnación de Díaz,Bajo,53555,1955
14-34,14,34,Jalisco,Ejutla,Bajo,1862,1931
14-33,14,33,Jalisco,Degollado,Bajo,21479,1800
14-44,14,44,Jalisco,Ixtlahuacán de los Membrillos,Muy bajo,53045,2215
14-60,14,60,Jalisco,Mexticacán,Bajo,5088,1765
14-46,14,46,Jalisco,Jalostotitlán,Bajo,33777,1964
14-47,14,47,Jalisco,Jamay,Muy bajo,24753,2140
14-48,14,48,Jalisco,Jesús María,Bajo,19469,1584
14-49,14,49,Jalisco,Jilotlán de los Dolores,Medio,9917,1210
14-50,14,50,Jalisco,Jocotepec,Bajo,46521,1823
14-51,14,51,Jalisco,Juanacatlán,Muy bajo,17955,2259
14-52,14,52,Jalisco,Juchitlán,Bajo,5638,1919
14-53,14,53,Jalisco,Lagos de Moreno,Bajo,164981,2009
14-54,14,54,Jalisco,El Limón,Muy bajo,5379,2151
14-55,14,55,Jalisco,Magdalena,Bajo,22643,2041
14-56,14,56,Jalisco,Santa María del Oro,Alto,2028,741
14-57,14,57,Jalisco,La Manzanilla de la Paz,Bajo,3688,2007
14-58,14,58,Jalisco,Mascota,Bajo,14477,2065
14-59,14,59,Jalisco,Mazamitla,Bajo,13799,1795
14-32,14,32,Jalisco,Chiquilistlán,Bajo,6102,1490
14-84,14,84,Jalisco,Talpa de Allende,Bajo,15126,1840
14-30,14,30,Jalisco,Chapala,Muy bajo,50738,2285
14-29,14,29,Jalisco,Cuquío,Bajo,17980,1513
14-62,14,62,Jalisco,Mixtlán,Bajo,3526,1843
14-1,14,1,Jalisco,Acatic,Bajo,21530,1813
14-2,14,2,Jalisco,Acatlán de Juárez,Muy bajo,22261,2228
14-3,14,3,Jalisco,Ahualulco de Mercado,Muy bajo,23362,2320
14-4,14,4,Jalisco,Amacueca,Bajo,5385,1996
14-5,14,5,Jalisco,Amatitán,Muy bajo,15344,2323
14-6,14,6,Jalisco,Ameca,Muy bajo,60951,2212
14-7,14,7,Jalisco,San Juanito de Escobedo,Bajo,9420,2105
14-8,14,8,Jalisco,Arandas,Bajo,77116,2010
14-9,14,9,Jalisco,El Arenal,Muy bajo,19900,2262
14-10,14,10,Jalisco,Atemajac de Brizuela,Medio,6717,1309
14-11,14,11,Jalisco,Atengo,Bajo,5475,1530
14-12,14,12,Jalisco,Atenguillo,Bajo,3899,2074
14-13,14,13,Jalisco,Atotonilco el Alto,Bajo,60480,1962
14-14,14,14,Jalisco,Atoyac,Bajo,8264,1603
14-15,14,15,Jalisco,Autlán de Navarro,Muy bajo,60572,2155
14-16,14,16,Jalisco,Ayotlán,Bajo,37963,1771
14-17,14,17,Jalisco,Ayutla,Bajo,12453,1903
14-18,14,18,Jalisco,La Barca,Bajo,65055,2061
14-19,14,19,Jalisco,Bolaños,Muy alto,7341,49
14-20,14,20,Jalisco,Cabo Corrientes,Bajo,10303,1538
14-21,14,21,Jalisco,Casimiro Castillo,Bajo,21584,1820
14-22,14,22,Jalisco,Cihuatlán,Bajo,41300,1828
14-23,14,23,Jalisco,Zapotlán el Grande,Muy bajo,105423,2340
14-24,14,24,Jalisco,Cocula,Muy bajo,26687,2133
14-25,14,25,Jalisco,Colotlán,Muy bajo,17865,2245
14-26,14,26,Jalisco,Concepción de Buenos Aires,Bajo,6088,1749
14-27,14,27,Jalisco,Cuautitlán de García Barragán,Alto,18138,591
14-28,14,28,Jalisco,Cuautla,Bajo,2120,1759
14-61,14,61,Jalisco,Mezquitic,Muy alto,19452,14
14-87,14,87,Jalisco,Tecalitlán,Bajo,16579,1634
14-63,14,63,Jalisco,Ocotlán,Muy bajo,99461,2203
14-111,14,111,Jalisco,Valle de Guadalupe,Muy bajo,6924,2122
14-98,14,98,Jalisco,Tlaquepaque,Muy bajo,664193,2272
14-99,14,99,Jalisco,Tolimán,Medio,10310,1311
14-100,14,100,Jalisco,Tomatlán,Bajo,35824,1525
14-101,14,101,Jalisco,Tonalá,Muy bajo,536111,2297
14-102,14,102,Jalisco,Tonaya,Muy bajo,5960,2169
14-103,14,103,Jalisco,Tonila,Bajo,7919,1965
14-104,14,104,Jalisco,Totatiche,Bajo,4412,1748
14-105,14,105,Jalisco,Tototlán,Bajo,23171,1934
14-106,14,106,Jalisco,Tuxcacuesco,Bajo,4229,1378
14-107,14,107,Jalisco,Tuxcueca,Bajo,6156,1974
14-108,14,108,Jalisco,Tuxpan,Bajo,34535,2013
14-109,14,109,Jalisco,Unión de San Antonio,Bajo,17915,1684
14-110,14,110,Jalisco,Unión de Tula,Muy bajo,13446,2149
14-112,14,112,Jalisco,Valle de Juárez,Bajo,5389,1961
14-96,14,96,Jalisco,Tizapán el Alto,Bajo,20961,1747
14-113,14,113,Jalisco,San Gabriel,Bajo,16105,1721
14-114,14,114,Jalisco,Villa Corona,Bajo,17824,2000
14-115,14,115,Jalisco,Villa Guerrero,Medio,5417,1030
14-116,14,116,Jalisco,Villa Hidalgo,Muy bajo,20257,2145
14-117,14,117,Jalisco,Cañadas de Obregón,Bajo,4110,1596
14-118,14,118,Jalisco,Yahualica de González Gallo,Bajo,22586,1865
14-119,14,119,Jalisco,Zacoalco de Torres,Bajo,28205,1852
14-120,14,120,Jalisco,Zapopan,Muy bajo,1332272,2398
14-121,14,121,Jalisco,Zapotiltic,Muy bajo,29190,2156
14-122,14,122,Jalisco,Zapotitlán de Vadillo,Medio,7027,1117
14-123,14,123,Jalisco,Zapotlán del Rey,Bajo,17893,1794
14-124,14,124,Jalisco,Zapotlanejo,Bajo,68519,1954
14-125,14,125,Jalisco,San Ignacio Cerro Gordo,Bajo,18952,1821
14-97,14,97,Jalisco,Tlajomulco de Zúñiga,Muy bajo,549442,2328
14-64,14,64,Jalisco,Ojuelos de Jalisco,Bajo,32357,1598
14-95,14,95,Jalisco,Teuchitlán,Muy bajo,9608,2202
14-79,14,79,Jalisco,Gómez Farías,Bajo,14278,1860
14-65,14,65,Jalisco,Pihuamo,Bajo,11192,1545
14-66,14,66,Jalisco,Poncitlán,Bajo,51944,1666
14-67,14,67,Jalisco,Puerto Vallarta,Muy bajo,275640,2330
14-68,14,68,Jalisco,Villa Purificación,Bajo,10704,1422
14-69,14,69,Jalisco,Quitupan,Medio,8379,1307
14-71,14,71,Jalisco,San Cristóbal de la Barranca,Bajo,3117,1551
14-72,14,72,Jalisco,San Diego de Alejandría,Bajo,7349,1683
14-73,14,73,Jalisco,San Juan de los Lagos,Muy bajo,69725,2128
14-74,14,74,Jalisco,San Julián,Bajo,15890,2034
14-75,14,75,Jalisco,San Marcos,Muy bajo,3783,2172
14-76,14,76,Jalisco,San Martín de Bolaños,Bajo,3122,1386
14-77,14,77,Jalisco,San Martín Hidalgo,Muy bajo,27777,2132
14-78,14,78,Jalisco,San Miguel el Alto,Bajo,32960,1926
14-70,14,70,Jalisco,El Salto,Muy bajo,183437,2146
14-80,14,80,Jalisco,San Sebastián del Oeste,Bajo,5643,1815
14-88,14,88,Jalisco,Tecolotlán,Bajo,17257,2094
14-81,14,81,Jalisco,Santa María de los Ángeles,Bajo,3033,1772
14-93,14,93,Jalisco,Tepatitlán de Morelos,Muy bajo,141322,2196
14-92,14,92,Jalisco,Teocuitatlán de Corona,Bajo,10317,1740
14-90,14,90,Jalisco,Tenamaxtlán,Bajo,7005,2102
14-89,14,89,Jalisco,Techaluta de Montenegro,Bajo,3703,1941
14-91,14,91,Jalisco,Teocaltiche,Bajo,41278,1911
14-94,14,94,Jalisco,Tequila,Muy bajo,42009,2181
14-86,14,86,Jalisco,Tapalpa,Bajo,19506,1498
14-85,14,85,Jalisco,Tamazula de Gordiano,Bajo,38396,1905
14-83,14,83,Jalisco,Tala,Muy bajo,80365,2177
14-82,14,82,Jalisco,Sayula,Muy bajo,36778,2147
13-24,13,24,Hidalgo,Huasca de Ocampo,Medio,17728,1325
13-32,13,32,Hidalgo,Jaltocán,Medio,11818,1003
13-25,13,25,Hidalgo,Huautla,Alto,21244,508
13-26,13,26,Hidalgo,Huazalingo,Alto,13986,590
13-27,13,27,Hidalgo,Huehuetla,Alto,25989,239
13-28,13,28,Hidalgo,Huejutla de Reyes,Medio,129919,1143
13-29,13,29,Hidalgo,Huichapan,Bajo,45959,1706
13-30,13,30,Hidalgo,Ixmiquilpan,Bajo,93502,1690
13-31,13,31,Hidalgo,Jacala de Ledezma,Medio,13399,1201
13-39,13,39,Hidalgo,Mineral del Monte,Bajo,14640,2047
13-33,13,33,Hidalgo,Juárez Hidalgo,Medio,3108,1112
13-34,13,34,Hidalgo,Lolotla,Alto,9461,697
13-35,13,35,Hidalgo,Metepec,Bajo,11801,1601
13-36,13,36,Hidalgo,San Agustín Metzquititlán,Bajo,9437,1421
13-37,13,37,Hidalgo,Metztitlán,Medio,20111,974
13-38,13,38,Hidalgo,Mineral del Chico,Medio,9028,1006
13-40,13,40,Hidalgo,La Misión,Alto,10139,464
13-41,13,41,Hidalgo,Mixquiahuala de Juárez,Bajo,46224,1963
13-22,13,22,Hidalgo,Epazoyucan,Bajo,14693,2030
13-23,13,23,Hidalgo,Francisco I. Madero,Bajo,35872,1940
13-7,13,7,Hidalgo,Almoloya,Bajo,12410,1546
13-21,13,21,Hidalgo,Emiliano Zapata,Muy bajo,14825,2230
13-10,13,10,Hidalgo,Atitalaquia,Muy bajo,29683,2191
13-2,13,2,Hidalgo,Acaxochitlán,Alto,43774,597
13-3,13,3,Hidalgo,Actopan,Bajo,56429,1969
13-4,13,4,Hidalgo,Agua Blanca de Iturbide,Medio,9116,854
13-5,13,5,Hidalgo,Ajacuba,Bajo,18320,1730
13-6,13,6,Hidalgo,Alfajayucan,Medio,20332,1206
13-43,13,43,Hidalgo,Nicolás Flores,Alto,7031,604
13-8,13,8,Hidalgo,Apan,Bajo,44576,2037
13-9,13,9,Hidalgo,El Arenal,Bajo,18807,1741
13-11,13,11,Hidalgo,Atlapexco,Alto,19902,640
13-20,13,20,Hidalgo,Eloxochitlán,Medio,2667,1263
13-12,13,12,Hidalgo,Atotonilco el Grande,Medio,27433,1216
13-13,13,13,Hidalgo,Atotonilco de Tula,Muy bajo,38564,2255
13-14,13,14,Hidalgo,Calnali,Medio,17163,855
13-15,13,15,Hidalgo,Cardonal,Medio,18347,1194
13-16,13,16,Hidalgo,Cuautepec de Hinojosa,Bajo,58301,1458
13-17,13,17,Hidalgo,Chapantongo,Medio,13789,916
13-18,13,18,Hidalgo,Chapulhuacán,Medio,23961,992
13-19,13,19,Hidalgo,Chilcuautla,Medio,18169,1292
13-42,13,42,Hidalgo,Molango de Escamilla,Medio,11587,1225
13-1,13,1,Hidalgo,Acatlán,Medio,21044,1152
13-44,13,44,Hidalgo,Nopala de Villagrán,Medio,16896,1255
13-75,13,75,Hidalgo,Tolcayuca,Muy bajo,16733,2232
13-67,13,67,Hidalgo,Tezontepec de Aldama,Bajo,53009,1532
13-68,13,68,Hidalgo,Tianguistengo,Alto,15122,445
13-69,13,69,Hidalgo,Tizayuca,Muy bajo,119442,2347
13-70,13,70,Hidalgo,Tlahuelilpan,Bajo,19389,1827
13-71,13,71,Hidalgo,Tlahuiltepa,Alto,10376,699
13-72,13,72,Hidalgo,Tlanalapa,Muy bajo,10342,2290
13-73,13,73,Hidalgo,Tlanchinol,Alto,39772,648
13-74,13,74,Hidalgo,Tlaxcoapan,Bajo,28490,1842
13-76,13,76,Hidalgo,Tula de Allende,Muy bajo,109093,2213
13-65,13,65,Hidalgo,Tetepango,Bajo,11624,1900
13-77,13,77,Hidalgo,Tulancingo de Bravo,Bajo,161069,2002
13-78,13,78,Hidalgo,Xochiatipan,Alto,19752,244
13-79,13,79,Hidalgo,Xochicoatlán,Medio,7706,1059
13-80,13,80,Hidalgo,Yahualica,Alto,24173,284
13-81,13,81,Hidalgo,Zacualtipán de Ángeles,Bajo,34720,1606
13-82,13,82,Hidalgo,Zapotlán de Juárez,Bajo,18748,2087
13-83,13,83,Hidalgo,Zempoala,Muy bajo,45382,2130
13-45,13,45,Hidalgo,Omitlán de Juárez,Bajo,9636,1367
13-66,13,66,Hidalgo,Villa de Tezontepec,Bajo,12413,2054
13-84,13,84,Hidalgo,Zimapán,Bajo,40201,1491
13-64,13,64,Hidalgo,Tepetitlán,Bajo,10932,1537
13-54,13,54,Hidalgo,San Salvador,Bajo,35547,1735
13-63,13,63,Hidalgo,Tepeji del Río de Ocampo,Bajo,87442,1986
13-47,13,47,Hidalgo,Pacula,Medio,5139,934
13-48,13,48,Hidalgo,Pachuca de Soto,Muy bajo,277375,2375
13-49,13,49,Hidalgo,Pisaflores,Alto,17379,611
13-50,13,50,Hidalgo,Progreso de Obregón,Muy bajo,23451,2109
13-46,13,46,Hidalgo,San Felipe Orizatlán,Medio,38952,980
13-52,13,52,Hidalgo,San Agustín Tlaxiaca,Bajo,36079,1834
13-53,13,53,Hidalgo,San Bartolo Tutotepec,Alto,18986,302
13-51,13,51,Hidalgo,Mineral de la Reforma,Muy bajo,150176,2406
13-55,13,55,Hidalgo,Santiago de Anaya,Bajo,17032,1518
13-56,13,56,Hidalgo,Santiago Tulantepec de Lugo Guerrero,Bajo,37292,2023
13-57,13,57,Hidalgo,Singuilucan,Medio,16235,1236
13-58,13,58,Hidalgo,Tasquillo,Bajo,16403,1408
13-59,13,59,Hidalgo,Tecozautla,Medio,37674,1164
13-60,13,60,Hidalgo,Tenango de Doria,Medio,18766,747
13-61,13,61,Hidalgo,Tepeapulco,Muy bajo,54373,2325
13-62,13,62,Hidalgo,Tepehuacán de Guerrero,Alto,30750,323
12-22,12,22,Guerrero,Coyuca de Catalán,Alto,39002,380
12-23,12,23,Guerrero,Cuajinicuilapa,Medio,27266,799
12-24,12,24,Guerrero,Cualác,Alto,7649,478
12-25,12,25,Guerrero,Cuautepec,Alto,16415,486
12-26,12,26,Guerrero,Cuetzala del Progreso,Alto,8559,401
12-27,12,27,Guerrero,Cutzamala de Pinzón,Alto,19746,674
12-28,12,28,Guerrero,Chilapa de Álvarez,Alto,129867,223
12-29,12,29,Guerrero,Chilpancingo de los Bravo,Bajo,273106,1590
12-38,12,38,Guerrero,José Azueta,Bajo,124824,1654
12-31,12,31,Guerrero,General Canuto A. Neri,Alto,5780,469
12-32,12,32,Guerrero,General Heliodoro Castillo,Alto,37340,216
12-33,12,33,Guerrero,Huamuxtitlán,Bajo,15287,1356
12-34,12,34,Guerrero,Huitzuco de los Figueroa,Medio,37094,866
12-35,12,35,Guerrero,Iguala de la Independencia,Bajo,151660,1499
12-36,12,36,Guerrero,Igualapa,Alto,11383,451
12-37,12,37,Guerrero,Ixcateopan de Cuauhtémoc,Alto,6179,637
12-20,12,20,Guerrero,Copanatoyac,Muy alto,20192,75
12-39,12,39,Guerrero,Juan R. Escudero,Medio,24890,1196
12-21,12,21,Guerrero,Coyuca de Benítez,Medio,76306,778
12-11,12,11,Guerrero,Atoyac de Álvarez,Medio,60382,1119
12-19,12,19,Guerrero,Copalillo,Muy alto,14866,56
12-18,12,18,Guerrero,Copala,Medio,14304,928
12-41,12,41,Guerrero,Malinaltepec,Alto,25584,199
12-1,12,1,Guerrero,Acapulco de Juárez,Bajo,810669,1761
12-2,12,2,Guerrero,Ahuacuotzingo,Alto,26858,234
12-3,12,3,Guerrero,Ajuchitlán del Progreso,Alto,38134,497
12-4,12,4,Guerrero,Alcozauca de Guerrero,Muy alto,19368,106
12-5,12,5,Guerrero,Alpoyeca,Medio,6657,1139
12-6,12,6,Guerrero,Apaxtla,Medio,11159,1022
12-7,12,7,Guerrero,Arcelia,Medio,31406,1299
12-8,12,8,Guerrero,Atenango del Río,Alto,8731,455
12-9,12,9,Guerrero,Atlamajalcingo del Monte,Muy alto,5476,58
12-10,12,10,Guerrero,Atlixtac,Muy alto,27212,98
12-12,12,12,Guerrero,Ayutla de los Libres,Alto,69716,186
12-13,12,13,Guerrero,Azoyú,Alto,14865,626
12-14,12,14,Guerrero,Benito Juárez,Medio,15318,1288
12-15,12,15,Guerrero,Buenavista de Cuéllar,Bajo,13286,1757
12-16,12,16,Guerrero,Coahuayutla de José María Izazaga,Alto,12725,190
12-17,12,17,Guerrero,Cocula,Medio,13457,1132
12-40,12,40,Guerrero,Leonardo Bravo,Alto,26342,578
12-30,12,30,Guerrero,Florencio Villarreal,Medio,20855,876
12-42,12,42,Guerrero,Mártir de Cuilapan,Alto,18526,281
12-63,12,63,Guerrero,Tlacoapa,Muy alto,9753,29
12-65,12,65,Guerrero,Tlalixtaquilla de Maldonado,Alto,7407,565
12-67,12,67,Guerrero,Tlapehuala,Medio,21995,1134
12-68,12,68,Guerrero,La Unión de Isidoro Montes de Oca,Medio,26432,1078
12-69,12,69,Guerrero,Xalpatláhuac,Muy alto,11726,141
12-70,12,70,Guerrero,Xochihuehuetlán,Medio,7201,776
12-71,12,71,Guerrero,Xochistlahuaca,Muy alto,28839,93
12-72,12,72,Guerrero,Zapotitlán Tablas,Muy alto,11221,71
12-73,12,73,Guerrero,Zirándaro,Alto,18206,471
12-74,12,74,Guerrero,Zitlala,Muy alto,22721,153
12-75,12,75,Guerrero,Eduardo Neri,Medio,51316,886
12-76,12,76,Guerrero,Acatepec,Muy alto,36449,18
12-77,12,77,Guerrero,Marquelia,Medio,13730,858
12-78,12,78,Guerrero,Cochoapa el Grande,Muy alto,18458,4
12-79,12,79,Guerrero,José Joaquin de Herrera,Muy alto,17661,21
12-80,12,80,Guerrero,Juchitán,Alto,7576,624
12-81,12,81,Guerrero,Iliatenco,Alto,11114,318
12-43,12,43,Guerrero,Metlatónoc,Muy alto,19456,26
12-64,12,64,Guerrero,Tlalchapa,Bajo,12404,1390
12-66,12,66,Guerrero,Tlapa de Comonfort,Alto,87967,614
12-62,12,62,Guerrero,Tlacoachistlahuaca,Muy alto,22771,102
12-53,12,53,Guerrero,San Marcos,Alto,49449,647
12-61,12,61,Guerrero,Tixtla de Guerrero,Medio,42653,803
12-45,12,45,Guerrero,Olinalá,Alto,25483,183
12-46,12,46,Guerrero,Ometepec,Alto,67641,586
12-47,12,47,Guerrero,Pedro Ascencio Alquisiras,Muy alto,6883,91
12-48,12,48,Guerrero,Petatlán,Medio,44263,1253
12-50,12,50,Guerrero,Pungarabato,Bajo,37494,1556
12-51,12,51,Guerrero,Quechultenango,Alto,35926,447
12-52,12,52,Guerrero,San Luis Acatlán,Alto,43671,181
12-49,12,49,Guerrero,Pilcaya,Medio,12900,1264
12-54,12,54,Guerrero,San Miguel Totolapan,Muy alto,27853,122
12-58,12,58,Guerrero,Teloloapan,Alto,57377,698
12-60,12,60,Guerrero,Tetipac,Alto,14658,630
12-55,12,55,Guerrero,Taxco de Alarcón,Medio,108416,1327
12-59,12,59,Guerrero,Tepecoacuilco de Trujano,Medio,31599,805
12-44,12,44,Guerrero,Mochitlán,Medio,12752,1008
12-57,12,57,Guerrero,Técpan de Galeana,Medio,64577,1088
12-56,12,56,Guerrero,Tecoanapa,Alto,46812,612
11-22,11,22,Guanajuato,Ocampo,Medio,23528,1333
11-21,11,21,Guanajuato,Moroleón,Muy bajo,50377,2134
11-13,11,13,Guanajuato,Doctor Mora,Bajo,24219,1437
11-19,11,19,Guanajuato,Jerécuaro,Medio,49053,1269
11-18,11,18,Guanajuato,Jaral del Progreso,Bajo,38412,1936
11-17,11,17,Guanajuato,Irapuato,Muy bajo,574344,2192
11-16,11,16,Guanajuato,Huanímaro,Bajo,21638,1764
11-15,11,15,Guanajuato,Guanajuato,Muy bajo,184239,2175
11-14,11,14,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,Medio,152113,1280
11-20,11,20,Guanajuato,León,Muy bajo,1578626,2238
11-4,11,4,Guanajuato,Apaseo el Alto,Bajo,68455,1723
11-12,11,12,Guanajuato,Cuerámaro,Bajo,28320,1667
11-11,11,11,Guanajuato,Cortazar,Bajo,95961,1983
11-10,11,10,Guanajuato,Coroneo,Bajo,12068,1586
11-9,11,9,Guanajuato,Comonfort,Medio,82572,1211
11-8,11,8,Guanajuato,Manuel Doblado,Bajo,38832,1450
11-7,11,7,Guanajuato,Celaya,Muy bajo,494304,2289
11-6,11,6,Guanajuato,Atarjea,Alto,5128,436
11-5,11,5,Guanajuato,Apaseo el Grande,Bajo,92605,1885
11-3,11,3,Guanajuato,San Miguel de Allende,Bajo,171857,1448
11-2,11,2,Guanajuato,Acámbaro,Bajo,112125,1916
11-1,11,1,Guanajuato,Abasolo,Bajo,90990,1526
11-23,11,23,Guanajuato,Pénjamo,Bajo,150570,1413
11-24,11,24,Guanajuato,Pueblo Nuevo,Bajo,11872,1793
11-25,11,25,Guanajuato,Purísima del Rincón,Bajo,79798,1713
11-37,11,37,Guanajuato,Silao,Bajo,189567,1849
11-26,11,26,Guanajuato,Romita,Bajo,59879,1604
11-45,11,45,Guanajuato,Xichú,Alto,11639,532
11-44,11,44,Guanajuato,Villagrán,Bajo,58830,2096
11-43,11,43,Guanajuato,Victoria,Medio,20166,786
11-42,11,42,Guanajuato,Valle de Santiago,Bajo,142672,1675
11-41,11,41,Guanajuato,Uriangato,Bajo,62761,1939
11-40,11,40,Guanajuato,Tierra Blanca,Alto,18960,545
11-39,11,39,Guanajuato,Tarimoro,Bajo,34263,1657
11-38,11,38,Guanajuato,Tarandacuao,Bajo,12256,1809
11-46,11,46,Guanajuato,Yuriria,Bajo,69763,1620
11-36,11,36,Guanajuato,Santiago Maravatío,Bajo,6824,1777
11-29,11,29,Guanajuato,San Diego de la Unión,Medio,39668,982
11-34,11,34,Guanajuato,Santa Catarina,Medio,5261,818
11-27,11,27,Guanajuato,Salamanca,Muy bajo,273271,2229
11-28,11,28,Guanajuato,Salvatierra,Bajo,100391,1729
11-35,11,35,Guanajuato,Santa Cruz de Juventino Rosas,Bajo,83060,1514
11-30,11,30,Guanajuato,San Felipe,Medio,113109,1175
11-32,11,32,Guanajuato,San José Iturbide,Bajo,78794,1958
11-33,11,33,Guanajuato,San Luis de la Paz,Medio,121027,1226
11-31,11,31,Guanajuato,San Francisco del Rincón,Bajo,119510,1779
10-10,10,10,Durango,Hidalgo,Bajo,3838,1987
10-18,10,18,Durango,El Oro,Bajo,11496,1953
10-17,10,17,Durango,Ocampo,Bajo,9567,1792
10-16,10,16,Durango,Nombre de Dios,Bajo,19694,1858
10-15,10,15,Durango,Nazas,Bajo,12957,1908
10-14,10,14,Durango,Mezquital,Muy alto,39288,2
10-13,10,13,Durango,Mapimí,Bajo,26502,1797
10-12,10,12,Durango,Lerdo,Muy bajo,153311,2227
10-11,10,11,Durango,Indé,Bajo,4927,1853
10-8,10,8,Durango,Guadalupe Victoria,Muy bajo,35380,2176
10-9,10,9,Durango,Guanaceví,Alto,9851,709
10-7,10,7,Durango,Gómez Palacio,Muy bajo,342286,2319
10-6,10,6,Durango,General Simón Bolívar,Bajo,10110,1531
10-4,10,4,Durango,Cuencamé,Bajo,35415,1910
10-3,10,3,Durango,Coneto de Comonfort,Bajo,4390,1678
10-2,10,2,Durango,Canelas,Alto,4683,397
10-1,10,1,Durango,Canatlán,Bajo,32852,1904
10-20,10,20,Durango,Pánuco de Coronado,Muy bajo,12290,2152
10-5,10,5,Durango,Durango,Muy bajo,654876,2360
10-19,10,19,Durango,Otáez,Alto,5385,385
10-21,10,21,Durango,Peñón Blanco,Bajo,10922,1868
10-31,10,31,Durango,Santa Clara,Bajo,7089,2048
10-22,10,22,Durango,Poanas,Bajo,25241,1945
10-39,10,39,Durango,Nuevo Ideal,Bajo,27278,1884
10-38,10,38,Durango,Vicente Guerrero,Muy bajo,21861,2256
10-37,10,37,Durango,Topia,Alto,9351,730
10-36,10,36,Durango,Tlahualilo,Bajo,22895,1915
10-35,10,35,Durango,Tepehuanes,Alto,11060,733
10-33,10,33,Durango,Súchil,Bajo,6343,1542
10-32,10,32,Durango,Santiago Papasquiaro,Bajo,48482,1616
10-34,10,34,Durango,Tamazula,Alto,26709,226
10-30,10,30,Durango,San Pedro del Gallo,Bajo,1478,1970
10-29,10,29,Durango,San Luis del Cordero,Bajo,2077,1977
10-28,10,28,Durango,San Juan del Río,Bajo,12747,1877
10-27,10,27,Durango,San Juan de Guadalupe,Bajo,5564,1347
10-26,10,26,Durango,San Dimas,Medio,19383,839
10-25,10,25,Durango,San Bernardo,Medio,3205,981
10-24,10,24,Durango,Rodeo,Bajo,13554,1951
10-23,10,23,Durango,Pueblo Nuevo,Medio,50417,850
9-10,9,10,Distrito Federal,Álvaro Obregón,Muy bajo,749982,2425
9-2,9,2,Distrito Federal,Azcapotzalco,Muy bajo,400161,2430
